Class,AI_Raw_Count,AI_Matched_Count,Ground_Truth_Count,Accuracy
class_01,133,7,44,15.909090909090908
class_02,131,4,48,8.333333333333332
class_03,139,5,44,11.363636363636363
class_04,81,0,29,0.0
class_05,104,5,39,5.128205128205128
class_06,103,5,39,10.256410256410255
class_07,97,5,42,11.904761904761903
class_08,88,4,33,6.0606060606060606
class_09,79,3,32,6.25
class_10,79,2,31,3.225806451612903
class_11,88,1,37,2.7027027027027026
class_12,73,1,34,2.941176470588235
class_13,90,5,32,12.5
class_14,110,5,27,7.4074074074074066
class_15,120,5,44,9.090909090909092
class_16,75,0,28,0.0
class_17,89,3,28,3.571428571428571
class_18,84,1,32,3.125
class_19,84,1,29,3.4482758620689653
class_20,69,1,21,4.761904761904762
class_21,63,2,21,0.0
class_22,86,5,25,16.0
class_24,98,2,40,5.0
class_25,50,0,18,0.0
class_26,104,4,32,6.25
class_27,44,1,14,7.142857142857142
